2016-08-18_17:45:54.621 INFO  171447050 246152725 
2016-08-18_17:45:54.792 INFO  171448250 246154500 
2016-08-18_17:45:54.895 INFO  171449150 246155500 
2016-08-18_17:45:55.170 INFO  171451175 246158200 
2016-08-18_17:45:55.271 INFO  171452075 246159175 
2016-08-18_17:45:55.381 INFO  171452875 246160225 
2016-08-18_17:45:55.562 INFO  171454125 246162025 
2016-08-18_17:45:55.665 INFO  171454975 246162975 
2016-08-18_17:45:55.770 INFO  171455825 246163925 
2016-08-18_17:45:55.965 INFO  171457200 246165900 
2016-08-18_17:45:56.067 INFO  171458075 246166875 
2016-08-18_17:45:56.169 INFO  171458900 246167850 
2016-08-18_17:45:56.392 INFO  171460425 246170050 
2016-08-18_17:45:56.494 INFO  171461350 246171000 
2016-08-18_17:45:56.595 INFO  171462175 246172000 
2016-08-18_17:45:56.884 INFO  171464225 246174875 
2016-08-18_17:45:56.989 INFO  171465125 246175850 
2016-08-18_17:45:57.257 INFO  171467125 246178500 
2016-08-18_17:45:57.359 INFO  171467975 246179425 
2016-08-18_17:45:57.463 INFO  171468850 246180425 
2016-08-18_17:45:57.636 INFO  171470050 246182125 
2016-08-18_17:45:57.737 INFO  171470925 246183075 
2016-08-18_17:45:57.846 INFO  171471850 246184150 
2016-08-18_17:45:58.017 INFO  171473000 246185750 
2016-08-18_17:45:58.120 INFO  171473900 246186750 
2016-08-18_17:45:58.232 INFO  171474825 246187850 
2016-08-18_17:45:58.409 INFO  171475975 246189575 
2016-08-18_17:45:58.511 INFO  171476875 246190525 
2016-08-18_17:45:58.622 INFO  171477775 246191600 
2016-08-18_17:45:58.785 INFO  171478925 246193225 
2016-08-18_17:45:58.888 INFO  171479850 246194225 
2016-08-18_17:45:58.997 INFO  171480700 246195300 
2016-08-18_17:45:59.176 INFO  171481950 246197125 
2016-08-18_17:45:59.276 INFO  171482850 246198075 
2016-08-18_17:45:59.393 INFO  171483775 246199150 
2016-08-18_17:45:59.558 INFO  171484850 246200825 
2016-08-18_17:45:59.662 INFO  171485800 246201850 
2016-08-18_17:45:59.766 INFO  171486625 246202825 
2016-08-18_17:45:59.940 INFO  171487850 246204625 
2016-08-18_17:46:00.042 INFO  171488750 246205550 
2016-08-18_17:46:00.304 INFO  171490700 246208125 
2016-08-18_17:46:00.406 INFO  171491575 246209050 
2016-08-18_17:46:00.664 INFO  171493475 246211575 
2016-08-18_17:46:00.765 INFO  171494175 246212300 
2016-08-18_17:46:00.866 INFO  171495000 246213275 
2016-08-18_17:46:01.036 INFO  171496175 246214950 
2016-08-18_17:46:01.136 INFO  171497100 246215900 
2016-08-18_17:46:01.249 INFO  171498050 246217050 
2016-08-18_17:46:01.458 INFO  171499375 246219075 
2016-08-18_17:46:01.560 INFO  171500225 246220000 
2016-08-18_17:46:01.896 INFO  171502700 246223300 
2016-08-18_17:46:01.997 INFO  171503625 246224300 
2016-08-18_17:46:02.101 INFO  171504450 246225225 
2016-08-18_17:46:02.288 INFO  171505725 246227100 
2016-08-18_17:46:02.388 INFO  171506675 246228150 
2016-08-18_17:46:02.507 INFO  171507575 246229200 
2016-08-18_17:46:02.682 INFO  171508825 246230950 
2016-08-18_17:46:02.784 INFO  171509750 246231950 
2016-08-18_17:46:02.904 INFO  171510700 246233100 
2016-08-18_17:46:03.081 INFO  171511900 246234825 
2016-08-18_17:46:03.184 INFO  171512875 246235875 
2016-08-18_17:46:03.288 INFO  171513650 246236800 
2016-08-18_17:46:03.466 INFO  171514875 246238575 
