2016-08-18_19:31:44.568 INFO   31900648 52.252916538029915 
2016-08-18_19:31:44.669 INFO   33083376 54.19021221525851 
2016-08-18_19:31:44.771 INFO   34197392 56.014958379349906 
2016-08-18_19:31:44.874 INFO   35210176 57.67388762188605 
2016-08-18_19:31:44.974 INFO   36344960 59.532651545449355 
2016-08-18_19:31:45.077 INFO   37316368 61.12380734731189 
2016-08-18_19:31:45.179 INFO   38293088 62.723664147745055 
2016-08-18_19:31:45.280 INFO   28339544 46.419866686025514 
2016-08-18_19:31:45.380 INFO   29474856 48.27949546788047 
2016-08-18_19:31:45.482 INFO   30609392 50.13785317012496 
2016-08-18_19:31:45.584 INFO   31773264 52.044262923210546 
2016-08-18_19:31:45.687 INFO   32867568 53.83672104441336 
2016-08-18_19:31:45.790 INFO   33992552 55.67943267392693 
2016-08-18_19:31:45.893 INFO   35012856 57.350679595162454 
2016-08-18_19:31:45.995 INFO   36136416 59.191058728071255 
2016-08-18_19:31:46.098 INFO   37104344 60.77651432755695 
2016-08-18_19:31:46.200 INFO   38244136 62.6434813009775 
2016-08-18_19:31:46.305 INFO   39036448 63.94127979109217 
2016-08-18_19:31:46.405 INFO   39730040 65.07737598849371 
2016-08-18_19:31:46.507 INFO   30629392 50.170612953899905 
2016-08-18_19:31:46.609 INFO   31619400 51.792235354673146 
2016-08-18_19:31:46.710 INFO   32588520 53.37964343727183 
2016-08-18_19:31:46.811 INFO   33665840 55.14428195009296 
2016-08-18_19:31:46.913 INFO   34631336 56.725753959871625 
2016-08-18_19:31:47.014 INFO   35640464 58.378694713933704 
2016-08-18_19:31:47.120 INFO   36721544 60.14949206610453 
2016-08-18_19:31:47.221 INFO   37572248 61.54293602092852 
2016-08-18_19:31:47.326 INFO   38652552 63.31246229348888 
2016-08-18_19:31:47.427 INFO   39675472 63.92014946648939 
2016-08-18_19:31:47.527 INFO   40807960 65.7446722403837 
2016-08-18_19:31:47.627 INFO   31632936 50.96302312884628 
2016-08-18_19:31:47.727 INFO   32764016 52.78527750955174 
