2016-08-18_17:35:26.018 INFO   71040280 73.10155676066546 
2016-08-18_17:35:26.289 INFO   75159968 74.95304961311605 
2016-08-18_17:35:26.390 INFO   75186024 74.97903387990976 
2016-08-18_17:35:26.508 INFO   76012672 75.03126307892762 
2016-08-18_17:35:26.728 INFO   80054968 76.67820698647314 
2016-08-18_17:35:26.829 INFO   80079064 76.70128660441198 
2016-08-18_17:35:26.959 INFO   80908672 77.4959012989258 
2016-08-18_17:35:27.227 INFO   29987864 31.189171064039392 
2016-08-18_17:35:27.328 INFO   30013672 31.216012926694923 
2016-08-18_17:35:27.431 INFO   30041728 31.245192843723114 
2016-08-18_17:35:27.652 INFO   34533328 35.91672532603794 
2016-08-18_17:35:27.753 INFO   34555536 35.93982297350593 
2016-08-18_17:35:27.860 INFO   35414568 36.8332676015556 
2016-08-18_17:35:28.038 INFO   39790176 41.384161470528035 
2016-08-18_17:35:28.141 INFO   39813280 41.40819101155382 
2016-08-18_17:35:28.408 INFO   44818032 46.61343224717811 
2016-08-18_17:35:28.509 INFO   44840240 46.6365298946461 
2016-08-18_17:35:28.613 INFO   45668472 47.49794068164685 
2016-08-18_17:35:28.788 INFO   49363416 51.34090330439471 
2016-08-18_17:35:28.890 INFO   49385624 51.36400095186271 
2016-08-18_17:35:29.166 INFO   53527712 55.672020062337026 
2016-08-18_17:35:29.267 INFO   53550120 55.69532572175988 
2016-08-18_17:35:29.522 INFO   57781952 60.09668395662035 
2016-08-18_17:35:29.624 INFO   57829264 60.145891264662765 
2016-08-18_17:35:29.725 INFO   57862552 60.18051277443017 
2016-08-18_17:35:29.926 INFO   62099600 63.90937020728093 
2016-08-18_17:35:30.029 INFO   62121624 63.93203605326779 
2016-08-18_17:35:30.130 INFO   62143704 63.954759531264045 
2016-08-18_17:35:30.341 INFO   66340856 68.27422923773928 
2016-08-18_17:35:30.443 INFO   66366408 68.30052590031902 
2016-08-18_17:35:30.553 INFO   67203528 69.16204210956866 
2016-08-18_17:35:30.727 INFO   70587424 72.64455507594747 
2016-08-18_17:35:30.829 INFO   70609232 72.66699862704087 
2016-08-18_17:35:30.930 INFO   70631040 72.68944217813429 
2016-08-18_17:35:31.171 INFO   74832328 77.01316842016172 
2016-08-18_17:35:31.272 INFO   74854136 77.03561197125514 
2016-08-18_17:35:31.374 INFO   74875944 77.05805552234854 
2016-08-18_17:35:31.580 INFO   68551504 66.99199467625175 
2016-08-18_17:35:31.682 INFO   68586408 67.02610462929056 
2016-08-18_17:35:31.785 INFO   68608696 67.04788558944782 
2016-08-18_17:35:31.992 INFO   73555744 69.77153678671455 
2016-08-18_17:35:32.093 INFO   73577720 69.79238219196834 
2016-08-18_17:35:32.196 INFO   73599752 69.81328071620169 
2016-08-18_17:35:32.414 INFO   78703592 72.52482502687074 
2016-08-18_17:35:32.515 INFO   78725368 72.54489146284466 
2016-08-18_17:35:32.618 INFO   78747144 72.56495789881858 
2016-08-18_17:35:32.818 INFO   83697928 74.3008973569034 
2016-08-18_17:35:32.919 INFO   83719688 74.32021429299871 
2016-08-18_17:35:33.021 INFO   83741664 74.33972297809204 
2016-08-18_17:35:33.301 INFO   88277016 76.2698055914742 
2016-08-18_17:35:33.402 INFO   88311240 76.29937453189423 
2016-08-18_17:35:33.505 INFO   88333016 76.31818861693942 
2016-08-18_17:35:33.608 INFO   88354792 76.33700270198462 
2016-08-18_17:35:33.824 INFO   92425600 77.77387333169078 
2016-08-18_17:35:33.926 INFO   92453016 77.79694322262209 
2016-08-18_17:35:34.029 INFO   92474224 77.81478923396114 
2016-08-18_17:35:34.133 INFO   92495488 77.83268236792539 
2016-08-18_17:35:34.367 INFO   97323384 79.81599460852354 
2016-08-18_17:35:34.468 INFO   97347816 79.83603156470126 
2016-08-18_17:35:34.569 INFO   97368824 79.85326046022277 
2016-08-18_17:35:34.671 INFO   97389832 79.87048935574428 
2016-08-18_17:35:34.787 INFO   98219216 80.55067644081724 
2016-08-18_17:35:35.021 INFO   34417944 30.55373275643872 
2016-08-18_17:35:35.121 INFO   34442928 30.575911723874626 
2016-08-18_17:35:35.234 INFO   35394856 31.420963761711956 
2016-08-18_17:35:35.406 INFO   37287032 33.100699187864876 
2016-08-18_17:35:35.507 INFO   37308040 33.11934855337454 
2016-08-18_17:35:35.610 INFO   37329048 33.13799791888421 
2016-08-18_17:35:35.808 INFO   41793432 37.101151431427574 
2016-08-18_17:35:35.909 INFO   41814440 37.11980079693724 
2016-08-18_17:35:36.011 INFO   41835648 37.13862770781543 
2016-08-18_17:35:36.222 INFO   45798552 40.65660396332395 
2016-08-18_17:35:36.323 INFO   45819560 40.67525332883363 
2016-08-18_17:35:36.425 INFO   45868744 40.718915285860824 
2016-08-18_17:35:36.616 INFO   50164760 44.5326040053667 
2016-08-18_17:35:36.717 INFO   50185752 44.551239167246884 
2016-08-18_17:35:36.982 INFO   54443736 48.3311658594744 
2016-08-18_17:35:37.084 INFO   54464928 48.34997856672311 
2016-08-18_17:35:37.186 INFO   54486192 48.36885519030449 
2016-08-18_17:35:37.394 INFO   58709936 52.11838611544085 
2016-08-18_17:35:37.495 INFO   58733216 52.13905239633694 
2016-08-18_17:35:37.606 INFO   47708616 42.352219047237575 
2016-08-18_17:35:37.779 INFO   52414640 46.52988287403057 
2016-08-18_17:35:37.882 INFO   52435592 46.54848252683705 
2016-08-18_17:35:38.145 INFO   57408760 50.96329725327372 
2016-08-18_17:35:38.247 INFO   57433640 50.985383897118 
2016-08-18_17:35:38.359 INFO   58308048 51.76161935011577 
2016-08-18_17:35:38.530 INFO   62591896 55.5645062094007 
2016-08-18_17:35:38.631 INFO   62612832 55.5830916585777 
2016-08-18_17:35:38.923 INFO   68408256 59.10968742698588 
2016-08-18_17:35:39.024 INFO   68429408 59.127964286849924 
2016-08-18_17:35:39.139 INFO   69288432 59.87022323483829 
2016-08-18_17:35:39.389 INFO   31942672 33.574229122822715 
2016-08-18_17:35:39.491 INFO   31966968 33.5997661057892 
2016-08-18_17:35:39.598 INFO   32910344 34.59132754977147 
